# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 315, mean track length: 2
1 4.2990450942627243 4.5227206570954319 30.269172776515319 218 198 152 0.67359764819710233 31 4 30 1
2 4.2990450942627243 4.5227206570954319 30.269172776515319 218 198 152 0.67359764819710233 31 0 30 4
3 -1.3543208911217655 5.5617255507989034 31.361413614656836 56 23 22 1.0405982392589315 31 5 30 5
4 1.1064237159665988 5.6572873194316164 31.694163390998529 162 55 25 1.0702151760801195 31 9 30 7
5 0.68442504310595575 7.4359753484621107 27.687273177553426 32 33 33 2.1545260018835712 31 10 30 8
6 1.9430776075219267 5.022128055698067 31.132574681216159 66 44 28 1.1321457253167173 31 7 30 9
7 -2.1592330866646541 6.9871134999622928 30.432372001347208 182 117 72 1.3536012604350114 31 20 30 12
8 -0.82274301148325313 7.4830449433889683 28.421374091487536 51 29 16 2.0449454041923185 31 30 30 13
9 -2.1592330866646541 6.9871134999622928 30.432372001347208 182 117 72 1.3536012604350114 31 23 30 14
10 3.2483258446595058 4.7997039220693889 30.76917434114036 92 62 40 0.34469393278907956 31 14 30 15
11 3.2483258446595058 4.7997039220693889 30.76917434114036 92 62 40 0.34469393278907956 31 13 30 16
12 1.6029874261540307 4.3721761318263113 32.102925837404754 159 137 106 1.7623650976334311 31 11 30 21
13 1.4723790603630087 6.4367688151163307 27.583716778275825 57 14 11 1.0753011532781389 31 15 30 22
14 -2.6073458570177199 4.9830410952589475 32.408861974378453 219 172 64 1.4124369491752153 31 22 30 24
15 -2.4389814945033872 4.5379096703490802 33.230245688384301 142 89 62 1.4978858148084218 31 8 30 25
16 -2.6073458570177199 4.9830410952589475 32.408861974378453 219 172 64 1.4124369491752153 31 18 30 26
17 2.684442720549038 5.5373713229821488 30.06200711691843 68 71 73 1.2373851346343969 31 21 30 31
18 0.45604971554174656 6.648510644129348 27.853905854937786 227 184 71 0.17225192254166105 31 35 30 32
19 0.081398816262766793 7.1969891276056464 27.694320914181045 110 99 63 0.21379573382469613 31 49 30 34
20 2.684442720549038 5.5373713229821488 30.06200711691843 68 71 73 1.2373851346343969 31 17 30 36
21 1.4640794902469423 3.9191131086540261 32.493834543529495 112 99 83 0.03549317179541249 31 16 30 37
22 0.081398816262766793 7.1969891276056464 27.694320914181045 110 99 63 0.21379573382469613 31 50 30 38
23 0.45604971554174656 6.648510644129348 27.853905854937786 227 184 71 0.17225192254166105 31 47 30 40
24 -0.73331409378262113 6.4404323512999353 29.2965557889626 18 13 8 0.33243829114332313 31 36 30 46
25 -1.2478103524404536 6.7008187894846882 28.98236810596244 25 8 3 0.075032300262333027 31 54 30 47
26 -0.73331409378262113 6.4404323512999353 29.2965557889626 18 13 8 0.33243829114332313 31 41 30 52
27 -1.3897508177817499 5.1998462195178066 31.23310454803558 20 15 16 0.24614998752670769 31 51 30 53
28 -0.91632005816837392 6.6560801328924617 28.627617013271049 114 127 76 1.1115218006371201 31 34 30 54
29 -1.3897508177817499 5.1998462195178066 31.23310454803558 20 15 16 0.24614998752670769 31 52 30 55
30 -1.5858588437318155 4.7541983440339122 32.147585318048087 233 223 175 0.79275907885699604 31 25 30 57
31 -0.06014371840429375 5.0621853341472471 30.461534279285122 85 44 16 0.084243711830475271 31 42 30 59
32 -0.82783138851639737 5.7101667021542193 30.130072686001533 136 112 63 0.38137207492217851 31 39 30 61
